UniqueBlockID,SimulinkLibrary
AIE to HDL,aieUtilities
AIE to HLS,aieUtilities
Algebraic Loop Breaker,aieUtilities
Convert From Bfloat16,aieUtilities
Convert To Bfloat16,aieUtilities
From AXI-S,aieUtilities
HDL to AIE,aieUtilities
HLS to AIE,aieUtilities
RTP Source,aieUtilities
To AXI-S,aieUtilities
To Fixed Size,aieUtilities
To Variable Size,aieUtilities
Variable Size Signal to Workspace,aieUtilities
Appache2.0,vmcUtilities
DocBlock,vmcUtilities
Vitis Model Composer Hub,vmcUtilities
AIE Class Kernel,aieBasic
AIE Graph,aieBasic
AIE Kernel,aieBasic
AIE Signal Spec,aieBasic
FIFO (AIE),aieBasic
PLIO,aieBasic
Shared Buffer,aieBasic
Bitonic Sort,aieDSP
Convolution,aieDSP
Correlation,aieDSP
Cumulative Sum (AIE),aieDSP
DDS,aieDSP
DDS LUT,aieDSP
DDS LUT Stream,aieDSP
DDS Stream,aieDSP
DFT,aieDSP
DFT Stream,aieDSP
FFT (AIE),aieDSP
FFT Dynamic Point,aieDSP
FFT Dynamic Point Stream,aieDSP
FFT Stream,aieDSP
FIR Asymmetric,aieDSP
FIR Asymmetric Decimation,aieDSP
FIR Asymmetric Decimation Stream,aieDSP
FIR Asymmetric Stream,aieDSP
FIR Halfband Decimator,aieDSP
FIR Halfband Decimator Stream,aieDSP
FIR Halfband Interpolator,aieDSP
FIR Halfband Interpolator Stream,aieDSP
FIR Interpolation,aieDSP
FIR Interpolation Stream,aieDSP
FIR Resampler Filter,aieDSP
FIR Resampler Filter Stream,aieDSP
FIR Symmetric,aieDSP
FIR Symmetric Decimation,aieDSP
FIR Symmetric Decimation Stream,aieDSP
FIR Symmetric Stream,aieDSP
FIR TDM,aieDSP
FIR TDM Stream,aieDSP
Function Approximation,aieDSP
IDFT,aieDSP
IDFT Stream,aieDSP
IFFT,aieDSP
IFFT Stream,aieDSP
Mixed-Radix FFT,aieDSP
Mixed-Radix FFT Stream,aieDSP
Mixed-Radix IFFT,aieDSP
Mixed-Radix IFFT Stream,aieDSP
Mixer,aieDSP
Mixer LUT,aieDSP
Mixer LUT Stream,aieDSP
Mixer Stream,aieDSP
Vectorized Sample Delay,aieDSP
Vectorized Sample Delay Stream,aieDSP
Window Function,aieDSP
Window Function Stream,aieDSP
AXI FIFO,hdlBasic
Absolute,hdlBasic
Accumulator,hdlBasic
AddSub,hdlBasic
Addressable Shift Register,hdlBasic
Assert,hdlBasic
BitBasher,hdlBasic
Black Box,hdlBasic
CMult,hdlBasic
Concat,hdlBasic
Constant (HDL),hdlBasic
Convert,hdlBasic
Counter,hdlBasic
DSP48E,hdlBasic
DSP48E1,hdlBasic
DSP48E2,hdlBasic
DSP58,hdlBasic
DSPCPLX,hdlBasic
DSPFP32,hdlBasic
Delay (HDL),hdlBasic
Depuncture,hdlBasic
Digital FIR Filter,hdlBasic
Divide (HDL),hdlBasic
Down Sample,hdlBasic
Dual Port RAM,hdlBasic
Exponential,hdlBasic
Expression,hdlBasic
FFT (HDL),hdlBasic
FIFO (HDL),hdlBasic
Gateway In,hdlBasic
Gateway Out,hdlBasic
Inverse FFT,hdlBasic
Inverter,hdlBasic
LFSR,hdlBasic
Logical,hdlBasic
MCode,hdlBasic
Mult,hdlBasic
MultAdd,hdlBasic
Mux (HDL),hdlBasic
Natural Logarithm,hdlBasic
Negate (HDL),hdlBasic
Opmode,hdlBasic
Parallel to Serial,hdlBasic
Product (HDL),hdlBasic
Puncture,hdlBasic
ROM,hdlBasic
Reciprocal (HDL),hdlBasic
Reciprocal SquareRoot,hdlBasic
Register,hdlBasic
Reinterpret (HDL),hdlBasic
Relational,hdlBasic
Requantize,hdlBasic
Reset Generator,hdlBasic
Sample Time,hdlBasic
Scale,hdlBasic
Serial to Parallel,hdlBasic
Shift,hdlBasic
Simple Dual Port RAM,hdlBasic
